# MIC-185 192.168.9.155:4000; packets=794
# idx  relative    delta direction flags      seq        ack        payload wire
   185    244.686    0.095 PC->DEV ACK|PSH    1893637317 4237145525      48   102
   186    244.886    0.200 DEV->PC ACK        4237145525 1893637365       0    64
   187    246.033    1.147 DEV->PC ACK|PSH    4237145525 1893637365     124   178
   188    246.119    0.086 PC->DEV ACK|PSH    1893637365 4237145649      48   102
   189    246.281    0.162 DEV->PC ACK        4237145649 1893637413       0    64
   190    247.494    1.213 DEV->PC ACK|PSH    4237145649 1893637413     124   178
   191    247.942    0.448 PC->DEV ACK|PSH    1893637413 4237145773      48   102
   192    248.184    0.242 DEV->PC ACK        4237145773 1893637461       0    64
   193    249.476    1.292 DEV->PC ACK|PSH    4237145773 1893637461     124   178
   194    249.587    0.111 PC->DEV ACK|PSH    1893637461 4237145897      48   102
   195    249.788    0.201 DEV->PC ACK        4237145897 1893637509       0    64
   196    250.981    1.193 DEV->PC ACK|PSH    4237145897 1893637509     124   178
   197    251.087    0.106 PC->DEV ACK|PSH    1893637509 4237146021      48   102
   198    251.289    0.202 DEV->PC ACK        4237146021 1893637557       0    64
   199    252.440    1.151 DEV->PC ACK|PSH    4237146021 1893637557     124   178
   200    252.529    0.089 PC->DEV ACK|PSH    1893637557 4237146145      48   102
   201    252.686    0.157 DEV->PC ACK        4237146145 1893637605       0    64
   202    253.900    1.214 DEV->PC ACK|PSH    4237146145 1893637605     124   178
   203    254.049    0.149 PC->DEV ACK|PSH    1893637605 4237146269      48   102
   204    254.336    0.287 DEV->PC ACK        4237146269 1893637653       0    64
   205    255.465    1.129 DEV->PC ACK|PSH    4237146269 1893637653     124   178
   206    255.616    0.151 PC->DEV ACK|PSH    1893637653 4237146393      48   102
   207    255.804    0.188 DEV->PC ACK        4237146393 1893637701       0    64
   208    257.016    1.212 DEV->PC ACK|PSH    4237146393 1893637701     124   178
   209    257.116    0.100 PC->DEV ACK|PSH    1893637701 4237146517      48   102
   210    257.341    0.225 DEV->PC ACK        4237146517 1893637749       0    64
