connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,0.0,TCP,connect,,0,,,,
1,260.211,PC->DEV,service,call_command,41,0C904000,096A7050,604f6c78f7ff8853,to=0C904000;from=096A7050
1,261.647,DEV->PC,mebius_service,,44,00000000,0C904000,abf117cfffc9d96f,to=00000000;from=0C904000
1,261.758,PC->DEV,service,call_command,41,0C904000,096A7050,b3828873dc021495,to=0C904000;from=096A7050
1,263.1,DEV->PC,mebius_service,,44,00000000,0C904000,f8d6ba2831deb0ae,to=00000000;from=0C904000
1,263.321,PC->DEV,service,call_command,41,0C904000,096A7050,0594252a0145def0,to=0C904000;from=096A7050
1,264.662,DEV->PC,mebius_service,,44,00000000,0C904000,b19c3880f2cc6260,to=00000000;from=0C904000
1,264.756,PC->DEV,service,call_command,41,0C904000,096A7050,a57341237af02999,to=0C904000;from=096A7050
1,266.179,DEV->PC,mebius_service,,44,00000000,0C904000,5b1161a0b847a0d0,to=00000000;from=0C904000
1,266.313,PC->DEV,service,call_command,41,0C904000,096A7050,84bf570777de9902,to=0C904000;from=096A7050
1,267.61,DEV->PC,mebius_service,,40,00000000,0C904000,4fd5a292e5008827,to=00000000;from=0C904000
1,267.952,PC->DEV,service,call_command,44,0C904000,096A7050,9015ced2468a22e7,to=0C904000;from=096A7050
1,269.398,DEV->PC,mebius_service,,36,00000000,0C904000,11388244a9e3af31,to=00000000;from=0C904000
1,277.249,DEV->PC,mebius_service,,32,00000000,0C904000,7587ed87bb12d72f,to=00000000;from=0C904000
1,277.483,PC->DEV,init,set_session,32,0C904000,096A7050,6f18e47e31e7ab9b,to=0C904000;from=096A7050
1,278.993,DEV->PC,mebius_service,,32,00000000,0C904000,6c36ae1de736c1d2,to=00000000;from=0C904000
1,279.231,PC->DEV,configure_apply,program,28,0C904000,096A7050,5915beeb585fa8bf,to=0C904000;from=096A7050
