# MIC-185 192.168.9.155:4000; packets=472
# idx  relative    delta direction flags      seq        ack        payload wire
   199  10303.293    0.015 PC->DEV ACK        3419068218 3396064781       0    54
   200  10453.255  149.962 DEV->PC ACK        3396064781 3419068218    1460  1514
   201  10453.257    0.002 DEV->PC ACK        3396066241 3419068218    1460  1514
   202  10453.339    0.082 PC->DEV ACK        3419068218 3396067701       0    54
   203  10453.487    0.148 DEV->PC ACK|PSH    3396067701 3419068218    1220  1274
   204  10496.729   43.242 PC->DEV ACK        3419068218 3396068921       0    54
   205  10603.156  106.427 DEV->PC ACK        3396068921 3419068218    1460  1514
   206  10603.247    0.091 DEV->PC ACK        3396070381 3419068218    1460  1514
   207  10603.262    0.015 PC->DEV ACK        3419068218 3396071841       0    54
   208  10603.415    0.153 DEV->PC ACK|PSH    3396071841 3419068218    1220  1274
   209  10650.936   47.521 PC->DEV ACK        3419068218 3396073061       0    54
   210  10753.198  102.262 DEV->PC ACK        3396073061 3419068218    1460  1514
   211  10753.277    0.079 DEV->PC ACK        3396074521 3419068218    1460  1514
   212  10753.303    0.026 PC->DEV ACK        3419068218 3396075981       0    54
   213  10753.343    0.040 DEV->PC ACK|PSH    3396075981 3419068218    1220  1274
   214  10806.224   52.881 PC->DEV ACK        3419068218 3396077201       0    54
   215  10903.138   96.914 DEV->PC ACK        3396077201 3419068218    1460  1514
   216  10903.213    0.075 DEV->PC ACK        3396078661 3419068218    1460  1514
   217  10903.222    0.009 PC->DEV ACK        3419068218 3396080121       0    54
   218  10903.346    0.124 DEV->PC ACK|PSH    3396080121 3419068218    1220  1274
   219  10945.114   41.768 PC->DEV ACK        3419068218 3396081341       0    54
   220  11001.529   56.415 DEV->PC ACK|PSH    3396081341 3419068218      84   138
   221  11053.312   51.783 DEV->PC ACK        3396081425 3419068218    1460  1514
   222  11053.314    0.002 DEV->PC ACK        3396082885 3419068218    1460  1514
   223  11053.392    0.078 PC->DEV ACK        3419068218 3396084345       0    54
   224  11053.536    0.144 DEV->PC ACK|PSH    3396084345 3419068218    1220  1274
   225  11053.563    0.027 PC->DEV ACK        3419068218 3396085565       0    54
   226  11203.281  149.718 DEV->PC ACK        3396085565 3419068218    1460  1514
   227  11203.437    0.156 DEV->PC ACK        3396087025 3419068218    1460  1514
   228  11203.438    0.001 DEV->PC ACK|PSH    3396088485 3419068218    1220  1274
   229  11203.439    0.001 DEV->PC ACK|PSH    3396089705 3419068218      84   138
   230  11203.494    0.055 PC->DEV ACK        3419068218 3396089789       0    54
