# MIC-185 192.168.9.155:4000; packets=1094
# idx  relative    delta direction flags      seq        ack        payload wire
   299  17629.696    0.106 DEV->PC ACK        4177576913 2477009158    1460  1514
   300  17629.711    0.015 PC->DEV ACK        2477009158 4177578373       0    54
   301  17629.758    0.047 DEV->PC ACK|PSH    4177578373 2477009158    1220  1274
   302  17674.149   44.391 PC->DEV ACK        2477009158 4177579593       0    54
   303  17729.409   55.260 DEV->PC ACK|PSH    4177579593 2477009158      84   138
   304  17779.603   50.194 DEV->PC ACK        4177579677 2477009158    1460  1514
   305  17779.648    0.045 PC->DEV ACK        2477009158 4177581137       0    54
   306  17779.713    0.065 DEV->PC ACK        4177581137 2477009158    1460  1514
   307  17779.781    0.068 DEV->PC ACK|PSH    4177582597 2477009158    1220  1274
   308  17780.022    0.241 PC->DEV ACK        2477009158 4177583817       0    54
   309  17873.545   93.523 DEV->PC ACK|PSH    4177583817 2477009158      84   138
   310  17920.598   47.053 PC->DEV ACK        2477009158 4177583901       0    54
   311  17929.609    9.011 DEV->PC ACK        4177583901 2477009158    1460  1514
   312  17929.714    0.105 DEV->PC ACK        4177585361 2477009158    1460  1514
   313  17929.729    0.015 PC->DEV ACK        2477009158 4177586821       0    54
   314  17929.776    0.047 DEV->PC ACK|PSH    4177586821 2477009158    1220  1274
   315  17982.841   53.065 PC->DEV ACK        2477009158 4177588041       0    54
   316  18079.636   96.795 DEV->PC ACK        4177588041 2477009158    1460  1514
   317  18079.741    0.105 DEV->PC ACK        4177589501 2477009158    1460  1514
   318  18079.758    0.017 PC->DEV ACK        2477009158 4177590961       0    54
   319  18079.817    0.059 DEV->PC ACK|PSH    4177590961 2477009158    1220  1274
   320  18123.108   43.291 PC->DEV ACK        2477009158 4177592181       0    54
   321  18229.582  106.474 DEV->PC ACK        4177592181 2477009158    1460  1514
   322  18229.686    0.104 DEV->PC ACK        4177593641 2477009158    1460  1514
   323  18229.697    0.011 PC->DEV ACK        2477009158 4177595101       0    54
   324  18229.749    0.052 DEV->PC ACK|PSH    4177595101 2477009158    1220  1274
   325  18277.575   47.826 PC->DEV ACK        2477009158 4177596321       0    54
   326  18379.602  102.027 DEV->PC ACK        4177596321 2477009158    1460  1514
   327  18379.709    0.107 DEV->PC ACK        4177597781 2477009158    1460  1514
   328  18379.728    0.019 PC->DEV ACK        2477009158 4177599241       0    54
   329  18379.789    0.061 DEV->PC ACK|PSH    4177599241 2477009158    1220  1274
   330  18431.423   51.634 PC->DEV ACK        2477009158 4177600461       0    54
   331  18529.575   98.152 DEV->PC ACK        4177600461 2477009158    1460  1514
   332  18529.682    0.107 DEV->PC ACK        4177601921 2477009158    1460  1514
   333  18529.696    0.014 PC->DEV ACK        2477009158 4177603381       0    54
   334  18529.751    0.055 DEV->PC ACK|PSH    4177603381 2477009158    1220  1274
   335  18570.592   40.841 PC->DEV ACK        2477009158 4177604601       0    54
   336  18679.606  109.014 DEV->PC ACK        4177604601 2477009158    1460  1514
   337  18679.707    0.101 DEV->PC ACK        4177606061 2477009158    1460  1514
   338  18679.719    0.012 PC->DEV ACK        2477009158 4177607521       0    54
   339  18679.770    0.051 DEV->PC ACK|PSH    4177607521 2477009158    1220  1274
   340  18726.017   46.247 PC->DEV ACK        2477009158 4177608741       0    54
   341  18729.344    3.327 DEV->PC ACK|PSH    4177608741 2477009158      84   138
