# MIC-185 192.168.9.155:4000; packets=1803
# idx  relative    delta direction flags      seq        ack        payload wire
   148  42829.225    0.054 DEV->PC ACK|PSH    3263991189 2164023976    1220  1274
   149  42882.497   53.272 PC->DEV ACK        2164023976 3263992409       0    54
   150  42979.005   96.508 DEV->PC ACK        3263992409 2164023976    1460  1514
   151  42979.146    0.141 DEV->PC ACK        3263993869 2164023976    1460  1514
   152  42979.155    0.009 PC->DEV ACK        2164023976 3263995329       0    54
   153  42979.206    0.051 DEV->PC ACK|PSH    3263995329 2164023976    1220  1274
   154  43020.989   41.783 PC->DEV ACK        2164023976 3263996549       0    54
   155  43070.320   49.331 DEV->PC ACK|PSH    3263996549 2164023976      84   138
   156  43115.514   45.194 PC->DEV ACK        2164023976 3263996633       0    54
   157  43129.013   13.499 DEV->PC ACK        3263996633 2164023976    1460  1514
   158  43129.138    0.125 DEV->PC ACK        3263998093 2164023976    1460  1514
   159  43129.144    0.006 PC->DEV ACK        2164023976 3263999553       0    54
   160  43129.198    0.054 DEV->PC ACK|PSH    3263999553 2164023976    1220  1274
   161  43178.835   49.637 PC->DEV ACK        2164023976 3264000773       0    54
   162  43279.055  100.220 DEV->PC ACK        3264000773 2164023976    1460  1514
   163  43279.177    0.122 DEV->PC ACK        3264002233 2164023976    1460  1514
   164  43279.185    0.008 PC->DEV ACK        2164023976 3264003693       0    54
   165  43279.238    0.053 DEV->PC ACK|PSH    3264003693 2164023976    1220  1274
   166  43321.334   42.096 PC->DEV ACK        2164023976 3264004913       0    54
   167  43429.153  107.819 DEV->PC ACK        3264004913 2164023976    1460  1514
   168  43429.206    0.053 DEV->PC ACK        3264006373 2164023976    1460  1514
   169  43429.221    0.015 PC->DEV ACK        2164023976 3264007833       0    54
   170  43429.271    0.050 DEV->PC ACK|PSH    3264007833 2164023976    1220  1274
   171  43477.441   48.170 PC->DEV ACK        2164023976 3264009053       0    54
   172  43478.858    1.417 DEV->PC ACK|PSH    3264009053 2164023976      84   138
   173  43523.664   44.806 PC->DEV ACK        2164023976 3264009137       0    54
   174  43579.059   55.395 DEV->PC ACK        3264009137 2164023976    1460  1514
   175  43579.111    0.052 DEV->PC ACK        3264010597 2164023976    1460  1514
   176  43579.123    0.012 PC->DEV ACK        2164023976 3264012057       0    54
   177  43579.243    0.120 DEV->PC ACK|PSH    3264012057 2164023976    1220  1274
   178  43632.549   53.306 PC->DEV ACK        2164023976 3264013277       0    54
   179  43729.041   96.492 DEV->PC ACK        3264013277 2164023976    1460  1514
   180  43729.113    0.072 DEV->PC ACK        3264014737 2164023976    1460  1514
   181  43729.117    0.004 PC->DEV ACK        2164023976 3264016197       0    54
   182  43729.218    0.101 DEV->PC ACK|PSH    3264016197 2164023976    1220  1274
   183  43771.874   42.656 PC->DEV ACK        2164023976 3264017417       0    54
   184  43879.112  107.238 DEV->PC ACK        3264017417 2164023976    1460  1514
   185  43879.273    0.161 DEV->PC ACK        3264018877 2164023976    1460  1514
   186  43879.274    0.001 DEV->PC ACK|PSH    3264020337 2164023976    1220  1274
   187  43879.332    0.058 PC->DEV ACK        2164023976 3264021557       0    54
   188  44029.020  149.688 DEV->PC ACK        3264021557 2164023976    1460  1514
   189  44029.140    0.120 DEV->PC ACK        3264023017 2164023976    1460  1514
   190  44029.150    0.010 PC->DEV ACK        2164023976 3264024477       0    54
   191  44029.199    0.049 DEV->PC ACK|PSH    3264024477 2164023976    1220  1274
   192  44071.375   42.176 DEV->PC ACK|PSH    3264025697 2164023976      84   138
   193  44071.411    0.036 PC->DEV ACK        2164023976 3264025781       0    54
   194  44178.997  107.586 DEV->PC ACK        3264025781 2164023976    1460  1514
   195  44179.115    0.118 DEV->PC ACK        3264027241 2164023976    1460  1514
   196  44179.119    0.004 PC->DEV ACK        2164023976 3264028701       0    54
   197  44179.213    0.094 DEV->PC ACK|PSH    3264028701 2164023976    1220  1274
   198  44223.382   44.169 PC->DEV ACK        2164023976 3264029921       0    54
   199  44329.124  105.742 DEV->PC ACK        3264029921 2164023976    1460  1514
   200  44329.205    0.081 DEV->PC ACK        3264031381 2164023976    1460  1514
   201  44329.205    0.000 DEV->PC ACK|PSH    3264032841 2164023976    1220  1274
   202  44329.215    0.010 PC->DEV ACK        2164023976 3264034061       0    54
   203  44479.231  150.016 DEV->PC ACK        3264034061 2164023976    1460  1514
   204  44479.233    0.002 DEV->PC ACK        3264035521 2164023976    1460  1514
   205  44479.326    0.093 PC->DEV ACK        2164023976 3264036981       0    54
   206  44479.410    0.084 DEV->PC ACK|PSH    3264036981 2164023976    1304  1358
   207  44532.749   53.339 PC->DEV ACK        2164023976 3264038285       0    54
   208  44628.990   96.241 DEV->PC ACK        3264038285 2164023976    1460  1514
   209  44629.075    0.085 DEV->PC ACK        3264039745 2164023976    1460  1514
   210  44629.084    0.009 PC->DEV ACK        2164023976 3264041205       0    54
   211  44629.205    0.121 DEV->PC ACK|PSH    3264041205 2164023976    1220  1274
   212  44671.085   41.880 PC->DEV ACK        2164023976 3264042425       0    54
   213  44779.002  107.917 DEV->PC ACK        3264042425 2164023976    1460  1514
   214  44779.123    0.121 DEV->PC ACK        3264043885 2164023976    1460  1514
   215  44779.127    0.004 PC->DEV ACK        2164023976 3264045345       0    54
   216  44779.220    0.093 DEV->PC ACK|PSH    3264045345 2164023976    1220  1274
   217  44826.110   46.890 PC->DEV ACK        2164023976 3264046565       0    54
   218  44928.999  102.889 DEV->PC ACK        3264046565 2164023976    1460  1514
   219  44929.080    0.081 DEV->PC ACK        3264048025 2164023976    1460  1514
   220  44929.097    0.017 PC->DEV ACK        2164023976 3264049485       0    54
   221  44929.211    0.114 DEV->PC ACK|PSH    3264049485 2164023976    1220  1274
   222  44980.156   50.945 PC->DEV ACK        2164023976 3264050705       0    54
   223  45070.669   90.513 DEV->PC ACK|PSH    3264050705 2164023976      84   138
   224  45078.988    8.319 DEV->PC ACK        3264050789 2164023976    1460  1514
   225  45079.009    0.021 PC->DEV ACK        2164023976 3264052249       0    54
   226  45079.174    0.165 DEV->PC ACK        3264052249 2164023976    1460  1514
   227  45079.174    0.000 DEV->PC ACK|PSH    3264053709 2164023976    1220  1274
   228  45079.185    0.011 PC->DEV ACK        2164023976 3264054929       0    54
   229  45229.009  149.824 DEV->PC ACK        3264054929 2164023976    1460  1514
   230  45229.134    0.125 DEV->PC ACK        3264056389 2164023976    1460  1514
