connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
5,50028.899,DEV->PC,mebius_service,,4140,00000000,3E904000,509e37e91177ae49,to=00000000;from=3E904000
5,50071.189,DEV->PC,mebius_service,,84,00000000,3E904000,babe842d5916b66a,to=00000000;from=3E904000
5,50179.016,DEV->PC,mebius_service,,4140,00000000,3E904000,2eb4cfb365f67109,to=00000000;from=3E904000
5,50328.989,DEV->PC,mebius_service,,4140,00000000,3E904000,9c44239e14a9351b,to=00000000;from=3E904000
5,50479.006,DEV->PC,mebius_service,,4140,00000000,3E904000,dc15cdc4db4aa148,to=00000000;from=3E904000
5,50479.17,DEV->PC,mebius_service,,84,00000000,3E904000,8a11478c24134fd1,to=00000000;from=3E904000
5,50628.886,DEV->PC,mebius_service,,4140,00000000,3E904000,7d27edd6742ac2c5,to=00000000;from=3E904000
5,50778.95,DEV->PC,mebius_service,,4140,00000000,3E904000,3da8a4268e042c03,to=00000000;from=3E904000
5,50928.886,DEV->PC,mebius_service,,4140,00000000,3E904000,e2927c6eceac9b2b,to=00000000;from=3E904000
5,51072.308,DEV->PC,mebius_service,,84,00000000,3E904000,10a327ca2d7dc0db,to=00000000;from=3E904000
5,51078.868,DEV->PC,mebius_service,,4140,00000000,3E904000,08e0e8c58e734a58,to=00000000;from=3E904000
5,51228.898,DEV->PC,mebius_service,,4140,00000000,3E904000,26c4a5ced794bc79,to=00000000;from=3E904000
5,51378.88,DEV->PC,mebius_service,,4140,00000000,3E904000,f2bf6bd7d2862419,to=00000000;from=3E904000
5,51478.791,DEV->PC,mebius_service,,84,00000000,3E904000,850cf7fe74418055,to=00000000;from=3E904000
5,51528.87,DEV->PC,mebius_service,,4140,00000000,3E904000,21932b5558047f6b,to=00000000;from=3E904000
5,51678.89,DEV->PC,mebius_service,,4140,00000000,3E904000,dc86fc1cc387fafc,to=00000000;from=3E904000
5,51828.846,DEV->PC,mebius_service,,4140,00000000,3E904000,f55f751cf8c0c342,to=00000000;from=3E904000
5,51978.864,DEV->PC,mebius_service,,4140,00000000,3E904000,d3ab75540f22640b,to=00000000;from=3E904000
5,52072.433,DEV->PC,mebius_service,,84,00000000,3E904000,75e110a39a57b463,to=00000000;from=3E904000
5,52128.881,DEV->PC,mebius_service,,4140,00000000,3E904000,c82e4f6010af1708,to=00000000;from=3E904000
5,52278.984,DEV->PC,mebius_service,,4140,00000000,3E904000,beb33a5e35329035,to=00000000;from=3E904000
5,52428.859,DEV->PC,mebius_service,,4140,00000000,3E904000,5032bcc2736c2110,to=00000000;from=3E904000
5,52478.78,DEV->PC,mebius_service,,84,00000000,3E904000,5a630a7558452eb0,to=00000000;from=3E904000
5,52578.897,DEV->PC,mebius_service,,4140,00000000,3E904000,82951f3b8405030b,to=00000000;from=3E904000
5,52728.958,DEV->PC,mebius_service,,4140,00000000,3E904000,8d28e5e1d53b0273,to=00000000;from=3E904000
5,52878.88,DEV->PC,mebius_service,,4140,00000000,3E904000,e0aaf5a94f61313f,to=00000000;from=3E904000
5,53028.862,DEV->PC,mebius_service,,4140,00000000,3E904000,a501ae8759ce59db,to=00000000;from=3E904000
5,53071.619,DEV->PC,mebius_service,,84,00000000,3E904000,1bba5b8b20a8d6f0,to=00000000;from=3E904000
5,53178.862,DEV->PC,mebius_service,,4140,00000000,3E904000,6eeb8055145040a5,to=00000000;from=3E904000
5,53328.878,DEV->PC,mebius_service,,4140,00000000,3E904000,276b4a0228d0a5a8,to=00000000;from=3E904000
5,53478.848,DEV->PC,mebius_service,,4140,00000000,3E904000,485ca1b79b315efa,to=00000000;from=3E904000
5,53479.062,DEV->PC,mebius_service,,84,00000000,3E904000,efb9a9a2b96ecb00,to=00000000;from=3E904000
5,53628.825,DEV->PC,mebius_service,,4140,00000000,3E904000,2ae453be32690a1a,to=00000000;from=3E904000
5,53778.854,DEV->PC,mebius_service,,4140,00000000,3E904000,74fbc6a3e8472b85,to=00000000;from=3E904000
5,53928.841,DEV->PC,mebius_service,,4140,00000000,3E904000,cb24d01d5617092d,to=00000000;from=3E904000
5,54071.77,DEV->PC,mebius_service,,84,00000000,3E904000,10854a45bf230698,to=00000000;from=3E904000
5,54078.796,DEV->PC,mebius_service,,4140,00000000,3E904000,cb86f6ea85763fe3,to=00000000;from=3E904000
5,54228.842,DEV->PC,mebius_service,,4140,00000000,3E904000,52800657eabd7094,to=00000000;from=3E904000
5,54378.852,DEV->PC,mebius_service,,4140,00000000,3E904000,722819b546af095e,to=00000000;from=3E904000
5,54478.899,DEV->PC,mebius_service,,84,00000000,3E904000,79654b0f9640aeab,to=00000000;from=3E904000
5,54528.821,DEV->PC,mebius_service,,4140,00000000,3E904000,ef9f7a49b26d8912,to=00000000;from=3E904000
5,54678.987,DEV->PC,mebius_service,,4140,00000000,3E904000,db92376ab41ff88e,to=00000000;from=3E904000
5,54828.808,DEV->PC,mebius_service,,4140,00000000,3E904000,c271e4f3b9d997a5,to=00000000;from=3E904000
5,54978.819,DEV->PC,mebius_service,,4140,00000000,3E904000,99a04a26aece7b23,to=00000000;from=3E904000
5,55071.879,DEV->PC,mebius_service,,84,00000000,3E904000,e5fe665826f361b2,to=00000000;from=3E904000
5,55128.934,DEV->PC,mebius_service,,4140,00000000,3E904000,fe040c6dde6d3564,to=00000000;from=3E904000
5,55278.955,DEV->PC,mebius_service,,4140,00000000,3E904000,665f337c24839b05,to=00000000;from=3E904000
5,55428.829,DEV->PC,mebius_service,,4140,00000000,3E904000,7a1232ba88c3f976,to=00000000;from=3E904000
5,55478.803,DEV->PC,mebius_service,,84,00000000,3E904000,5a11f440670fb7ff,to=00000000;from=3E904000
5,55578.815,DEV->PC,mebius_service,,4140,00000000,3E904000,c6ec891b2906676a,to=00000000;from=3E904000
5,55728.815,DEV->PC,mebius_service,,4140,00000000,3E904000,44036d15144f3eb4,to=00000000;from=3E904000
5,55878.805,DEV->PC,mebius_service,,4140,00000000,3E904000,6e671ad906a199d7,to=00000000;from=3E904000
5,56028.79,DEV->PC,mebius_service,,4140,00000000,3E904000,541e8e5a4cf46422,to=00000000;from=3E904000
5,56072.966,DEV->PC,mebius_service,,84,00000000,3E904000,6075e59ce0fe42c8,to=00000000;from=3E904000
5,56178.821,DEV->PC,mebius_service,,4140,00000000,3E904000,647ba7079952c254,to=00000000;from=3E904000
5,56328.847,DEV->PC,mebius_service,,4140,00000000,3E904000,375c98f42a791e64,to=00000000;from=3E904000
5,56478.787,DEV->PC,mebius_service,,4140,00000000,3E904000,9714eb36932ed63b,to=00000000;from=3E904000
5,56479.003,DEV->PC,mebius_service,,84,00000000,3E904000,840457c75c1c422e,to=00000000;from=3E904000
5,56628.885,DEV->PC,mebius_service,,4140,00000000,3E904000,8d11b3ad433d7888,to=00000000;from=3E904000
5,56778.812,DEV->PC,mebius_service,,4140,00000000,3E904000,43a69ca5fc8fae40,to=00000000;from=3E904000
5,56928.814,DEV->PC,mebius_service,,4140,00000000,3E904000,9bd7b6a3857aaa92,to=00000000;from=3E904000
5,57073.036,DEV->PC,mebius_service,,84,00000000,3E904000,38bcd688a3cf2807,to=00000000;from=3E904000
5,57078.767,DEV->PC,mebius_service,,4140,00000000,3E904000,7a5ae4566b057db0,to=00000000;from=3E904000
5,57228.774,DEV->PC,mebius_service,,4140,00000000,3E904000,232782c8b2b8a5d7,to=00000000;from=3E904000
5,57378.803,DEV->PC,mebius_service,,4140,00000000,3E904000,6c2aeff42811ecb0,to=00000000;from=3E904000
5,57478.874,DEV->PC,mebius_service,,84,00000000,3E904000,6d5d2d369d103787,to=00000000;from=3E904000
5,57528.861,DEV->PC,mebius_service,,4140,00000000,3E904000,9dcd71ce83e326a2,to=00000000;from=3E904000
5,57678.791,DEV->PC,mebius_service,,4140,00000000,3E904000,717b68f379efa941,to=00000000;from=3E904000
5,57828.773,DEV->PC,mebius_service,,4140,00000000,3E904000,ac66c80a796f8fa6,to=00000000;from=3E904000
5,57978.808,DEV->PC,mebius_service,,4140,00000000,3E904000,295c8e2b95821188,to=00000000;from=3E904000
5,58072.225,DEV->PC,mebius_service,,84,00000000,3E904000,61b0b301f4c9e6b5,to=00000000;from=3E904000
5,58128.837,DEV->PC,mebius_service,,4140,00000000,3E904000,072fe14de42b0617,to=00000000;from=3E904000
5,58278.769,DEV->PC,mebius_service,,4140,00000000,3E904000,e7654b006439ba24,to=00000000;from=3E904000
5,58428.807,DEV->PC,mebius_service,,4140,00000000,3E904000,21838e322ca50109,to=00000000;from=3E904000
5,58478.875,DEV->PC,mebius_service,,84,00000000,3E904000,d93e53134ab97776,to=00000000;from=3E904000
5,58578.75,DEV->PC,mebius_service,,4140,00000000,3E904000,af93e2c4954f1628,to=00000000;from=3E904000
5,58728.761,DEV->PC,mebius_service,,4140,00000000,3E904000,e888652f70ac97d6,to=00000000;from=3E904000
